District Name,Town Name,Population,Median Household Income,Equalized Net Grand List Per Capita,2018-19,2019-20,2020-21,2021-22,2022-23,2018-2023,2020-2023,% change 18-23,% change 20-23
Hamden School District,Hamden,61065,"$78,602.00",97372.1,186.3,184.1,170.6,203.3,207.8,increased,increased,10.35%,17.90%
Hampton School District,Hampton,1729,"$76,364.00",141034.68,8,9,8.4,8,7,decreased,decreased,-14.29%,-20.00%
Hartford School District,Hartford,121026,"$36,154.00",61828.93,519.2,503.2,468.7,435.1,401.7,decreased,decreased,-29.25%,-16.68%
Hartland School District,Hartland,1900,"$97,850.00",153029.99,6.8,5.5,5.8,8.6,7.9,increased,increased,13.92%,26.58%
Hebron School District,Hebron,9102,"$126,045.00",134516.12,30.2,32.2,34.5,38.2,35.2,increased,increased,14.20%,1.99%
Kent School District,Kent,3014,"$77,344.00",298419.3,9.3,11.7,10.2,11,12,increased,increased,22.50%,15.00%
Killingly School District,Killingly,17738,"$66,071.00",113299.02,119,130.1,128.6,115.6,119,increased,decreased,0.00%,-8.07%
Lebanon School District,Lebanon,7142,"$97,422.00",145118.4,41.5,40.5,41.5,43,42,increased,increased,1.19%,1.19%
Ledyard School District,Ledyard,15420,"$92,439.00",110851.88,85.3,82.6,82.6,73.3,73,decreased,decreased,-16.85%,-13.15%
Lisbon School District,Lisbon,4191,"$86,641.00",154449.4,4.9,7.3,7.3,8.3,8.3,increased,increased,40.96%,12.05%
Litchfield School District,Litchfield,8165,"$87,241.00",191393.28,24,22,25,25,26.2,increased,increased,8.40%,4.58%
Madison School District,Madison,17658,"$119,777.00",248542.38,146.8,140.9,135,136.7,121.7,decreased,decreased,-20.62%,-10.93%
Manchester School District,Manchester,59693,"$74,270.00",107800.22,223.4,227.8,228.7,215.3,212,decreased,decreased,-5.38%,-7.88%
Mansfield School District,Mansfield,25883,"$50,492.00",62560.64,68.1,67,80.5,78.9,70.4,increased,decreased,3.27%,-14.35%
Marlborough School District,Marlborough,6127,"$113,547.00",142122.65,17.6,19.8,21.8,19.8,20.3,increased,decreased,13.30%,-7.39%
Meriden School District,Meriden,60794,"$58,472.00",82538.46,204,206,185,199,207,increased,increased,1.45%,10.63%
Middletown School District,Middletown,47676,"$62,022.00",115836.82,202.5,192.5,181,221,313.5,increased,increased,35.41%,42.26%
Milford School District,Milford,51954,"$95,627.00",199766.07,183.1,177.5,164.5,167,174.5,decreased,increased,-4.93%,5.73%
Monroe School District,Monroe,18808,"$121,847.00",168881.39,94,98,92,103.5,105.5,increased,increased,10.90%,12.80%
Montville School District,Montville,18377,"$80,765.00",113562.71,89.6,91.8,86.4,88.8,107.1,increased,increased,16.34%,19.33%
Naugatuck School District,Naugatuck,31517,"$77,967.00",85634.59,152.5,154.5,153.5,153.5,156,increased,increased,2.24%,1.60%
New Britain School District,New Britain,74125,"$47,393.00",60040.04,253.3,275.1,250.7,356.2,435.7,increased,increased,41.86%,42.46%
New Canaan School District,New Canaan,20605,"$200,203.00",506201.52,134.2,132.1,126.6,126.6,125.1,decreased,decreased,-7.27%,-1.20%
New Fairfield School District,New Fairfield,13570,"$114,583.00",172509.46,69.4,71.5,79.2,73.1,75.1,increased,decreased,7.59%,-5.46%
New Hartford School District,New Hartford,6652,"$103,400.00",151972.46,23,25,25,27,28,increased,increased,17.86%,10.71%
New Haven School District,New Haven,134052,"$44,507.00",87950.45,529.6,488,475,456.5,469,decreased,decreased,-12.92%,-1.28%
New London School District,New London,27376,"$47,424.00",83368.59,140.8,148.2,117.8,107.8,110,decreased,decreased,-28.00%,-7.09%
New Milford School District,New Milford,28106,"$93,815.00",162979.92,109,101,97,96,98.5,decreased,increased,-10.66%,1.52%
Newington School District,Newington,30464,"$82,721.00",138215.79,135.5,150.5,139,137,141.6,increased,increased,4.31%,1.84%
Newtown School District,Newtown,27154,"$125,028.00",188018.76,156.1,152.8,146.2,155.2,148.3,decreased,increased,-5.26%,1.42%
Norfolk School District,Norfolk,1585,"$75,179.00",282354.17,6.4,6,6.3,5.5,5.3,decreased,decreased,-20.75%,-18.87%
North Branford School District,North Branford,13535,"$96,019.00",149497.16,86.5,101,109,98.6,99,increased,decreased,12.63%,-10.10%
North Canaan School District,North Canaan,3198,"$63,214.00",141796.11,10.6,10.9,8.4,7.6,9.4,decreased,increased,-12.77%,10.64%
North Haven School District,North Haven,24237,"$104,812.00",183521.57,92.1,90.6,85.6,89.6,95.6,increased,increased,3.66%,10.46%
North Stonington School District,North Stonington,5152,"$61,963.00",166980.97,23,21,22,22,24,increased,increased,4.17%,8.33%
Norwalk School District,Norwalk,91194,"$89,486.00",232786.52,471.1,477.9,427,350.2,457,decreased,increased,-3.09%,6.56%
Norwich School District,Norwich,40152,"$57,565.00",77232.66,223.3,220.5,155.7,167,295,increased,increased,24.31%,47.22%
Old Saybrook School District,Old Saybrook,10442,"$86,802.00",325869.38,57,53,55,53,55.2,decreased,increased,-3.26%,0.36%
Orange School District,Orange,14255,"$129,489.00",227781.96,49.3,50.8,52.3,54,68.6,increased,increased,28.13%,23.76%
Oxford School District,Oxford,12702,"$106,089.00",191029.5,49.4,52.4,52.9,61.9,60.4,increased,increased,18.21%,12.42%
Plainfield School District,Plainfield,14984,"$66,689.00",110652.77,89.3,97.1,65.5,69,78,decreased,increased,-14.49%,16.03%
Plainville School District,Plainville,17516,"$70,012.00",127983.64,110,116.4,103,114.6,116.7,increased,increased,5.74%,11.74%
Plymouth School District,Plymouth,11668,"$79,029.00",95540.11,54.8,61.4,59.7,58.1,54,decreased,decreased,-1.48%,-10.56%
Pomfret School District,Pomfret,4270,"$91,788.00",131583.06,16,17.5,15.5,17,17.5,increased,increased,8.57%,11.43%
Portland School District,Portland,9371,"$97,754.00",141838.12,36,44,43,48.5,61,increased,increased,40.98%,29.51%
Preston School District,Preston,4784,"$87,885.00",153447.36,18.5,20.5,22,25,25,increased,increased,26.00%,12.00%
Putnam School District,Putnam,9219,"$64,320.00",113481.1,51.9,53.9,52.8,60.4,64.8,increased,increased,19.91%,18.52%
Redding School District,Redding,8742,"$135,928.00",260321.16,55.5,53.5,53.5,51,56.9,increased,increased,2.46%,5.98%
Regional School District 01,,0,"$78,282.83",317133.2,11.3,14.5,14.5,16.2,11.9,increased,decreased,5.04%,-21.85%
Regional School District 04,,0,"$90,151.67",199910.63,24.6,27.6,29.4,29.4,29.4,increased,increased,16.33%,0.00%
Regional School District 05,,0,"$149,892.67",188944.74,36,34.5,35.5,37,46.4,increased,increased,22.41%,23.49%
Regional School District 06,,0,"$107,184.33",340152.92,29,25,26.2,29.2,32.2,increased,increased,9.94%,18.63%
